disease,cause,symptoms,treatment,prevention
Fusarium Wilt,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Verticillium Wilt,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Blight,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Verticillium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Verticillium Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Blight,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Leaf Spot,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Disinfect tools before use and avoid working in wet conditions.
Powdery Mildew,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Use disease-resistant plant varieties and maintain garden hygiene.
Root Rot,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Disinfect tools before use and avoid working in wet conditions.
Rust,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Disinfect tools before use and avoid working in wet conditions.
Rust,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Fusarium Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Powdery Mildew,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Verticillium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Leaf Spot,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Powdery Mildew,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Bacterial Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Powdery Mildew,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Rust,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Root Rot,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Disinfect tools before use and avoid working in wet conditions.
Root Rot,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Disinfect tools before use and avoid working in wet conditions.
Fusarium Wilt,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Use disease-resistant plant varieties and maintain garden hygiene.
Bacterial Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Root Rot,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Use disease-resistant plant varieties and maintain garden hygiene.
Fusarium Wilt,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Verticillium Wilt,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Powdery Mildew,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Rust,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Downy Mildew,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Root Rot,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Downy Mildew,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Rust,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Powdery Mildew,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Disinfect tools before use and avoid working in wet conditions.
Leaf Spot,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Leaf Spot,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Anthracnose,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Rust,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Fusarium Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Use disease-resistant plant varieties and maintain garden hygiene.
Anthracnose,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Disinfect tools before use and avoid working in wet conditions.
Leaf Spot,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Disinfect tools before use and avoid working in wet conditions.
Downy Mildew,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Root Rot,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Fusarium Wilt,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Disinfect tools before use and avoid working in wet conditions.
Rust,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Bacterial Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Blight,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Disinfect tools before use and avoid working in wet conditions.
Bacterial Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Blight,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Fusarium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Disinfect tools before use and avoid working in wet conditions.
Fusarium Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Bacterial Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Use disease-resistant plant varieties and maintain garden hygiene.
Downy Mildew,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Blight,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Use disease-resistant plant varieties and maintain garden hygiene.
Blight,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Use disease-resistant plant varieties and maintain garden hygiene.
Leaf Spot,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Disinfect tools before use and avoid working in wet conditions.
Verticillium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Leaf Spot,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Verticillium Wilt,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Disinfect tools before use and avoid working in wet conditions.
Fusarium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Disinfect tools before use and avoid working in wet conditions.
Root Rot,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Downy Mildew,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Rust,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Disinfect tools before use and avoid working in wet conditions.
Fusarium Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Anthracnose,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Disinfect tools before use and avoid working in wet conditions.
Fusarium Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Leaf Spot,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Fusarium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Disinfect tools before use and avoid working in wet conditions.
Downy Mildew,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Use disease-resistant plant varieties and maintain garden hygiene.
Downy Mildew,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Fusarium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Blight,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Use disease-resistant plant varieties and maintain garden hygiene.
Fusarium Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Rust,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Use disease-resistant plant varieties and maintain garden hygiene.
Rust,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Use disease-resistant plant varieties and maintain garden hygiene.
Bacterial Wilt,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Powdery Mildew,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Blight,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Bacterial Wilt,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Rust,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Bacterial Wilt,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Blight,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Leaf Spot,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Leaf Spot,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Leaf Spot,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Rust,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Disinfect tools before use and avoid working in wet conditions.
Verticillium Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Powdery Mildew,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Use disease-resistant plant varieties and maintain garden hygiene.
Verticillium Wilt,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Anthracnose,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Use disease-resistant plant varieties and maintain garden hygiene.
Verticillium Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Bacterial Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Powdery Mildew,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Downy Mildew,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Fusarium Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Leaf Spot,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Verticillium Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Downy Mildew,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Powdery Mildew,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Bacterial Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Downy Mildew,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
